Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
D,,,,,"Сверление и пробивка отверстий, проемов в конструкциях. Заделка отверстий, гнезд и борозд при реконструкции",,ГЭСН 81-02-46-2020,По виду работ,,,
,DA,,,,Сверление отверстий,,ГЭСН 81-02-46-2020,По типу конструкции,,,
,,DAA,,,Сверление установками алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,По способу производства работ ,,"ГЭСН 46-03-001
",
,,,DAAA,,Разметка мест сверления вертикальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DAAB,,"Установка, выверка и крепление станка с присоединением к электро- и водопроводным сетям установок алмазного бурения вертикальных отверстий в железобетонных конструкциях",,ГЭСН 81-02-46-2020,,,,
,,,DAAC,,Опускание привода со сверлом установок алмазного бурения к месту сверления вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DAAD,,Сверление вертикальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DAAE,,Подъем привода со сверлом установок алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DAAF,,Удаление и уборка керна после сверления установками алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DAAG,,Установка удлинителей установок алмазного бурения при сверлении отверстий на глубину свыше 500 мм,,ГЭСН 81-02-46-2020,,,,
,,,DAAH,,Смена сверл установок алмазного бурения,,ГЭСН 81-02-46-2020,,,,
,,,DAAJ,,Перестановка станка после сверления установками алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,DAB,,,Сверление установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,По способу производства работ ,,ГЭСН 46-03-002,
,,,DABA,,Разметка мест сверления горизонтальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DABB,,"Установка, выверка и крепление станка с присоединением к электро- и водопроводным сетям установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях",,ГЭСН 81-02-46-2020,,,,
,,,DABC,,Опускание привода со сверлом установками алмазного бурения к месту сверления горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DABD,,Сверление горизонтальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DABE,,Подъем привода со сверлом установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DABF,,Удаление и уборка керна поле сверления установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DABG,,Установка удлинителей установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях при сверлении отверстий на глубину свыше 350 мм,,ГЭСН 81-02-46-2020,,,,
,,,DABH,,Смена сверл установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DABJ,,Перестановка станка после сверления установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DABK,,Перестановка подмостей после сверления установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,DAC,,,Бурение скважин в железобетонных конструкциях установками алмазного бурения,,ГЭСН 81-02-46-2020,По способу производства работ ,,ГЭСН 46-03-005,
,,,DACA,,Монтаж установки для бурения скважин в железобетонных конструкциях установками алмазного бурения,,ГЭСН 81-02-46-2020,,,,
,,,DACB,,Демонтаж установки после бурения скважин в железобетонных конструкциях установками алмазного бурения,,ГЭСН 81-02-46-2020,,,,
,,,DACC,,Бурение скважины с одновременным наращиванием удлинительных труб,,ГЭСН 81-02-46-2020,,,,
,,,DACD,,"Извлечение удлинительных труб, удаление керна после бурения скважин в железобетонных конструкциях установками алмазного бурения",,ГЭСН 81-02-46-2020,,,,
,,DAD,,,Перфорация трубы,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-006,
,,,DADA,,Разметка мест сверления отверстий для перфорации трубы,,ГЭСН 81-02-46-2020,,,,
,,,DADB,,Сверление отверстий для перфорации трубы,,ГЭСН 81-02-46-2020,,,,
,,,DADC,,Снятие фаски после перфорации трубы,,ГЭСН 81-02-46-2020,,,,
,DB,,,,"Пробивка отверстий, проемов, гнезд",,ГЭСН 81-02-46-2020,По типу конструкции,,,
,,DBA,,,Пробивка проемов в конструкциях,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-007,
,,,DBAA,,Разметка мест пробивки проемов в конструкции,,ГЭСН 81-02-46-2020,,,,
,,,DBAB,,Пробивка проемов с зачисткой откосов,,ГЭСН 81-02-46-2020,,,,
,,DBB,,,Устройство ниш в кирпичных стенах,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-008,
,,,DBBA,,Разметка мест пробивки ниш в кирпичных стенах,,ГЭСН 81-02-46-2020,,,,
,,,DBBB,,Пробивка ниш с зачисткой поверхности,,ГЭСН 81-02-46-2020,,,,
,,DBC,,,Пробивка гнезд и сквозных отверстий в кирпичных стенах,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-009,
,,,DBCA,,Разметка мест пробивки гнезд и сквозных отверстий в кирпичных стенах,,ГЭСН 81-02-46-2020,,,,
,,,DBCB,,Пробивка гнезд и сквозных отверстий,,ГЭСН 81-02-46-2020,,,,
,,DBD,,,"Пробивка отверстий в бетонных стенах, полах и потолках",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-010,
,,,DBDA,,"Разметка мест пробивки отверстий в бетонных стенах, полах и потолках",,ГЭСН 81-02-46-2020,,,,
,,,DBDB,,"Пробивка отверстий (в бетонных стенах, полах и потолках)",,ГЭСН 81-02-46-2020,,,,
,,DBE,,,Пробивка борозд в кирпичных стенах,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-011,
,,,DBEA,,Разметка мест пробивки борозд в кирпичных стенах,,ГЭСН 81-02-46-2020,,,,
,,,DBEB,,Зачистка борозд в кирпичных стенах,,ГЭСН 81-02-46-2020,,,,
,,DBF,,,Пробивка борозд в бетонных конструкциях,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-012,
,,,DBFA,,Разметка мест пробивки борозд в бетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DBFB,,Пробивка борозд,,ГЭСН 81-02-46-2020,,,,
,,DBG,,,Сверление отверстий в бетонных конструкциях перфоратором,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-013,
,,,DBGA,,Разметка мест сверления отверстий в бетонных конструкциях перфоратором,,ГЭСН 81-02-46-2020,,,,
,,,DBGB,,Приведение перфоратора в рабочее положение для сверления отверстий в бетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DBGC,,Сверление отверстий перфоратором в бетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DBGD,,Уборка мусора после сверления отверстий в бетонных конструкциях перфоратором,,ГЭСН 81-02-46-2020,,,,
,,DBH,,,Сверление отверстий в железобетонных конструкциях перфоратором,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-014,
,,,DBHA,,Разметка мест сверления отверстий в железобетонных конструкциях перфоратором,,ГЭСН 81-02-46-2020,,,,
,,,DBHB,,Приведение перфоратора в рабочее положение для сверления отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2020,,,,
,,,DBHC,,Сверление отверстий перфоратором,,ГЭСН 81-02-46-2020,,,,
,,,DBHD,,Уборка мусора после сверления отверстий в железобетонных конструкциях перфоратором,,ГЭСН 81-02-46-2020,,,,
,,DBJ,,,"Устройство борозд в конструкциях из кирпича, бетона с использованием штробореза",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-015,
,,,DBJA,,Разметка борозд штроборезом,,ГЭСН 81-02-46-2020,,,,
,,,DBJB,,Пропил борозд штроборезом,,ГЭСН 81-02-46-2020,,,,
,,,DBJC,,Зачистка борозд перфоратором,,ГЭСН 81-02-46-2020,,,,
,DC,,,,"Заделка отверстий, проемов, гнезд и борозд",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-03-017,
,,DCA,,,"Расчистка отверстий, гнезд и борозд для заделки",,ГЭСН 81-02-46-2020,,,,
,,DCB,,,"Установка опалубки для заделки отверстий, гнезд и борозд",,ГЭСН 81-02-46-2020,,,,
,,DCC,,,"Укладка арматуры для заделки отверстий, гнезд и борозд",,ГЭСН 81-02-46-2020,,,,
,,DCD,,,"Укладка бетона для заделки отверстий, гнезд и борозд",,ГЭСН 81-02-46-2020,,,,
,,DCE,,,"Последующая заделка отверстий, гнезд и борозд",,ГЭСН 81-02-46-2020,,,,
E,,,,,Устройство временных защитных ограждений и устройств при производстве работ по реконструкции,,ГЭСН 81-02-46-2020,По виду работ,,,
,EA,,,,Устройство временных защитных ограждений,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-05-001,
,,EAA,,,Устройство каркаса временных защитных ограждений из бревен и досок,,ГЭСН 81-02-46-2020,,,,
,,EAB,,,Устройство настила временных защитных ограждений с покрытием толем в два слоя ,,ГЭСН 81-02-46-2020,,,,
,,EAC,,,Разборка временных защитных ограждений,,ГЭСН 81-02-46-2020,,,,
,,EAD,,,Обшивка досками по каркасу с покрытием толем в один слой,,ГЭСН 81-02-46-2020,,,,
,EB,,,,Установка устройств при производстве работ по усилению конструкций и элементов,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-05-002
ГЭСН 46-05-003
ГЭСН 46-05-004
ГЭСН 46-05-005
ГЭСН 46-05-006",
,,EBA,,,Установка лебедок и такелажной оснастки для производства работ по усилению,,ГЭСН 81-02-46-2020,,,,
,,EBB,,,Снятие лебедок и такелажной оснастки после производства работ по усилению,,ГЭСН 81-02-46-2020,,,,
,,EBC,,,"Установка, перестановка и снятие приставных инвентарных лестниц и люлек, сборно-разборных подмостей индивидуального изготовления, страховочного каната при производстве работ по усилению",,ГЭСН 81-02-46-2020,,,,
,EC,,,,Установка защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-05-007,
,,ECA,,,Установка лебедок и такелажной оснастки для установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2020,,,,
,,ECB,,,Снятие лебедок и такелажной оснастки после установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2020,,,,
,,ECC,,,"Подъем, установка и снятие лестниц, люлек, защитного настила по прогонам под верхними поясами ферм, переходных мостиков для установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия",,ГЭСН 81-02-46-2020,,,,
,,ECD,,,Устройство путей для крышного крана и грузовой тележки для установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2020,,,,
,ED,,,,Работы по обеспечению устойчивости и безопасности ведения работ,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-05-008,
,,EDA,,,Установка опорных стоек для обеспечения устойчивости и безопасности ведения работ,,ГЭСН 81-02-46-2020,,,,
,,EDB,,,Снятие опорных стоек после обеспечения устойчивости и безопасности ведения работ,,ГЭСН 81-02-46-2020,,,,
,,EDC,,,"Приварка мелких металлических конструкций, срезка их и зачистка",,ГЭСН 81-02-46-2020,,,,
,EE,,,,"Установка и снятие временных тупиков, упоров, ограждений и предварительное напряжение подстропильных ферм",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-05-009,
,,EEA,,,"Установка тупиков, упоров, стоечного ограждения",,ГЭСН 81-02-46-2020,,,,
,,EEB,,,"Снятие тупиков, упоров, стоечного ограждения",,ГЭСН 81-02-46-2020,,,,
,,EEC,,,"Установка гидравлического домкрата, сборка и разборка монтажного приспособления",,ГЭСН 81-02-46-2020,,,,
F,,,,,Разборка жилых и общественных зданий,,ГЭСН 81-02-46-2020,По типу конструкции,,,
,FA,,,,Разборка надземной части,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-06-001
ГЭСН 46-06-002",
,,FAA,,,Разборка зданий с применением строительных машин и механизмов,,ГЭСН 81-02-46-2020,,,,
,,FAB,,,Выборка годных материалов с очисткой и укладкой в штабели,,ГЭСН 81-02-46-2020,,,,
,,FAC,,,"Перевозка материалов, полученных от разборки, на промежуточный склад",,ГЭСН 81-02-46-2020,,,,
,,FAD,,,Разборка зданий,,ГЭСН 81-02-46-2020,,,,
,FB,,,,Разборка санитарно-технических систем,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-06-003,
,,FBA,,,Снятие санитарно-технических систем,,ГЭСН 81-02-46-2020,,,,
,,FBB,,,Погрузка металлолома в автотранспорт,,ГЭСН 81-02-46-2020,,,,
,,FBC,,,Отвозка металлолома,,ГЭСН 81-02-46-2020,,,,
,,FBD,,,Выгрузка металлолома из автотранспорта,,ГЭСН 81-02-46-2020,,,,
,FC,,,,Разборка фундаментов жилых зданий из бутового камня,,ГЭСН 81-02-46-2020,,,ГЭСН 46-06-004,
,FD,,,,Разборка лестниц подземной части жилых зданий,,ГЭСН 81-02-46-2020,,,ГЭСН 46-06-005,
,FE,,,,Разборка полов с основанием подземной части жилых зданий,,ГЭСН 81-02-46-2020,,,ГЭСН 46-06-006,
,FF,,,,Разборка стен из кирпича подземной части жилых зданий,,ГЭСН 81-02-46-2020,,,ГЭСН 46-06-007,
,FG,,,,Разборка индивидуальных металлических гаражей с вывозкой,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-06-008,
,,FGA,,,Разборка индивидуальных металлических гаражей,,ГЭСН 81-02-46-2020,,,,
,,FGB,,,Вывоз после разборки индивидуальных металлических гаражей,,ГЭСН 81-02-46-2020,,,,
,FH,,,,Комплексная разборка зданий,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-06-009,
,,FHA,,,"Полная комплексная разборка зданий, включая фундаменты, с применением строительных машин и механизмов",,ГЭСН 81-02-46-2020,,,,
,,FHB,,,Выборка годных материалов с очисткой с укладкой в штабели,,ГЭСН 81-02-46-2020,,,,
,,FHC,,,"Перевозка материалов, полученных от разборки, на промежуточный склад после комплексной разборки",,ГЭСН 81-02-46-2020,,,,
G,,,,,Замена металлических конструкций сооружений,,ГЭСН 81-02-46-2020,По виду работ,,,
,GA,,,,Замена элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-07-010,
,,GAA,,,Устройство и усиление монтажного проема для замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,,,,
,,GAB,,,Демонтаж днища резервуара и окраек,,ГЭСН 81-02-46-2020,,,,
,,GAC,,,Изготовление и монтаж днища и окраек,,ГЭСН 81-02-46-2020,,,,
,,GAD,,,"Изготовление, монтаж приспособлений для замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов",,ГЭСН 81-02-46-2020,,,,
,,GAE,,,Демонтаж приспособлений после замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,,,,
,,GAF,,,Производство сварочных работ при замене элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,,,,
,,GAG,,,Перемещение металлоконструкций от приобъектного склада до монтажной площадки при замене элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,,,,
,,GAH,,,Испытание резервуара наливом воды после замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,,,,
,,GAJ,,,Контроль сварных соединений после замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,,,,
,GB,,,,Замена металлоконструкций при ремонте резервуаров,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-07-010
ГЭСН 46-07-015",
,,GBA,,,Устройство монтажного проема при ремонте резервуаров,,ГЭСН 81-02-46-2020,,,,
,,GBB,,,Демонтаж дефектного участка днища резервуара,,ГЭСН 81-02-46-2020,,,,
,,GBC,,,Монтаж ремонтной марки днища,,ГЭСН 81-02-46-2020,,,,
,,GBD,,,Монтаж приспособлений при ремонте резервуаров,,ГЭСН 81-02-46-2020,,,,
,,GBE,,,Демонтаж приспособлений после ремонта резервуаров,,ГЭСН 81-02-46-2020,,,,
,,GBF,,,"Производство сварочных работ, послойная зачистка сварных швов и околошовной зоны",,ГЭСН 81-02-46-2020,,,,
,,GBG,,,Контроль сварных соединений при ремонте резервуаров,,ГЭСН 81-02-46-2020,,,,
,,GBH,,,Перемещение металлоконструкций от приобъектного склада до монтажной площадки при ремонте резервуаров,,ГЭСН 81-02-46-2020,,,,
,GC,,,,Гидравлические испытания резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-07-025,
,,GCA,,,"Наполнение резервуара водой, включая проведение ВИК",,ГЭСН 81-02-46-2020,,,,
,,GCB,,,Выдержка резервуара под нагрузкой,,ГЭСН 81-02-46-2020,,,,
,,GCC,,,"Спуск воды из резервуара, включая проведение ВИК",,ГЭСН 81-02-46-2020,,,,
,,GCD,,,Нивелировка окрайки днища и вертикального отклонения стенки резервуара,,ГЭСН 81-02-46-2020,,,,
H,,,,,Работы при реконструкции гидротехнических сооружений,,ГЭСН 81-02-46-2020,По виду работ,,,
,HA,,,,Укрепление оснований гидротехнических сооружений методом инъектирования с погружением и извлечением инъектора в пробуренную скважину,,ГЭСН 81-02-46-2020,По способу производства работ ,,ГЭСН 46-09-001,
,,HAA,,,Доставка сухой смеси от приобъектного склада до места приготовления,,ГЭСН 81-02-46-2020,,,,
,,HAB,,,Выгрузка сухой смеси к растворному узлу,,ГЭСН 81-02-46-2020,,,,
,,HAC,,,Приготовление раствора для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2020,,,,
,,HAD,,,Перекачка раствора в накопитель для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2020,,,,
,,HAE,,,Затворение и барботаж раствора,,ГЭСН 81-02-46-2020,,,,
,,HAF,,,Выгрузка цемента для укрепления оснований гидротехнических сооружений в силос,,ГЭСН 81-02-46-2020,,,,
,,HAG,,,Доставка портландцемента и тампонажной смеси от приобъектного склада до места приготовления,,ГЭСН 81-02-46-2020,,,,
,,HAH,,,Выгрузка портландцемента и тампонажной смеси на месте производства работ,,ГЭСН 81-02-46-2020,,,,
,,HAJ,,,"Загрузка портландцемента и тампонажной смеси в смеситель, приготовление сухой смеси и загрузка в силос",,ГЭСН 81-02-46-2020,,,,
,,HAK,,,Перекачка раствора в накопительную емкость,,ГЭСН 81-02-46-2020,,,,
,,HAL,,,Выгрузка инъектора на месте производства работ по укреплению оснований гидротехнических сооружений,,ГЭСН 81-02-46-2020,,,,
,,HAM,,,Монтаж и погружение инъектора на глубину,,ГЭСН 81-02-46-2020,,,,
,,HAN,,,Нагнетание инъекционного раствора для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2020,,,,
,,HAP,,,Извлечение и демонтаж инъектора,,ГЭСН 81-02-46-2020,,,,
,,HAQ,,,Промывка инъектора после укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2020,,,,
,,HAR,,,Монтаж и демонтаж установки для бурения скважин в железобетоне,,ГЭСН 81-02-46-2020,,,,
,,HAS,,,Установка и снятие гидромотора,,ГЭСН 81-02-46-2020,,,,
,,HAT,,,Бурение скважины для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2020,,,,
,,HAU,,,Наращивание штанги для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2020,,,,
,,HAV,,,"Извлечение штанги, извлечение керна после укрепления оснований гидротехнических сооружений",,ГЭСН 81-02-46-2020,,,,
,,HAW,,,Монтаж коронки с удлинительными трубками,,ГЭСН 81-02-46-2020,,,,
,HB,,,,Разборка монолитных железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-09-005,
,,HBA,,,Разборка железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2020,,,,
,,HBB,,,Перемещение разобранного железобетона в отвал после разборки железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2020,,,,
,,HBC,,,Резка арматуры при разборке железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2020,,,,
,HC,,,,Канатная алмазная резка железобетонных конструкций,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-09-010,
,,HCA,,,"Разметка линии резания, мест крепления оборудования для канатной алмазной резки железобетонных конструкций",,ГЭСН 81-02-46-2020,,,,
,,HCB,,,"Установка автомата канатного пиления, включая внешний осмотр агрегатов и проверку надежности креплений",,ГЭСН 81-02-46-2020,,,,
,,HCC,,,"Подключение электропитания, проверка направления вращения электродвигателя, фазировка",,ГЭСН 81-02-46-2020,,,,
,,HCD,,,"Сборка гидравлической схемы привода автомата канатного пиления, проверка уровня масла, проведение необходимых регулировок и отладки системы гидравлического привода, проверка работоспособности автомата на холостом ходу",,ГЭСН 81-02-46-2020,,,,
,,HCE,,,Сборка системы охлаждения и промывки,,ГЭСН 81-02-46-2020,,,,
,,HCF,,,Установка погружных колонн в готовые отверстия,,ГЭСН 81-02-46-2020,,,,
,,HCG,,,"Установка и юстировка дюбельных опор под ролики, определение правильного направления вращения алмазного каната, установка и закрепление приводного колеса",,ГЭСН 81-02-46-2020,,,,
,,HCH,,,Юстировка роликов и протяжка каната по монтажной схеме,,ГЭСН 81-02-46-2020,,,,
,,HCJ,,,"Подача воды на маслостанцию и канат, включение маслостанции, привода вращения, пробное пиление при малых оборотах вращения",,ГЭСН 81-02-46-2020,,,,
,,HCK,,,"Пиление железобетонной конструкции, контроль процесса пиления",,ГЭСН 81-02-46-2020,,,,
,,HCL,,,"Укорачивание, скручивание и опрессовка каната металлическими втулками",,ГЭСН 81-02-46-2020,,,,
,,HCM,,,"Расклинивание пропила подготовленными клиньями, перестановка штуцера подачи воды",,ГЭСН 81-02-46-2020,,,,
J,,,,,Проведение дополнительных работ при реконструкции,,ГЭСН 81-02-46-2020,,,,
,JA,,,,Переноска грузов вручную в подземных сооружениях,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-001,
,,JAA,,,Подъем или погрузка материалов на малоемкие приборы перемещения,,ГЭСН 81-02-46-2020,,,,
,,JAB,,,Переноска грузов,,ГЭСН 81-02-46-2020,,,,
,,JAC,,,Опускание опрокидыванием,,ГЭСН 81-02-46-2020,,,,
,,JAD,,,Разгрузка складированием на месте,,ГЭСН 81-02-46-2020,,,,
,,JAE,,,Разгрузка опрокидыванием,,ГЭСН 81-02-46-2020,,,,
,JB,,,,Немеханизированная уборка территории в подземных сооружениях,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-002,
,,JBA,,,Перемещение бригады по территории,,ГЭСН 81-02-46-2020,,,,
,,JBB,,,Уборка территории,,ГЭСН 81-02-46-2020,,,,
,,JBC,,,Поддержание чистоты на территории,,ГЭСН 81-02-46-2020,,,,
,JC,,,,"Приготовление безусадочных, быстротвердеющих составов тиксотропного типа",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-003,
,,JCA,,,Дозировка составляющих,,ГЭСН 81-02-46-2020,,,,
,,JCB,,,Перемешивание состава,,ГЭСН 81-02-46-2020,,,,
,JD,,,,Нанесение на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-08-004
ГЭСН 46-08-005
ГЭСН 46-08-009
ГЭСН 46-08-010",
,,JDA,,,Установка опалубки для нанесения на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2020,,,,
,,JDB,,,Разборка опалубки после нанесения на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2020,,,,
,,JDC,,,Приготовление грунтовочного состава,,ГЭСН 81-02-46-2020,,,,
,,JDD,,,Нанесение грунтовочного состава,,ГЭСН 81-02-46-2020,,,,
,,JDE,,,Насыщение поверхности водой под нанесение на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2020,,,,
,,JDF,,,Нанесение наливного безусадочного быстротвердеющего состава тиксотропного типа на подготовленную поверхность вручную,,ГЭСН 81-02-46-2020,,,,
,,JDG,,,Нанесение безусадочного сухого состава тиксотропного типа на подготовленную поверхность в один слой,,ГЭСН 81-02-46-2020,,,,
,,JDH,,,Нанесение тиксотропного состава на подготовленную поверхность вручную в один слой,,ГЭСН 81-02-46-2020,,,,
,,JDJ,,,Нанесение пленкообразующего состава на акриловой основе,,ГЭСН 81-02-46-2020,,,,
,,JDK,,,Разравнивание нанесенного состава,,ГЭСН 81-02-46-2020,,,,
,JE,,,,"Высокоточная цементация оборудования, металлоконструкций с применением составов на цементно-эпоксидной основе",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-011,
,,JEA,,,Установка опалубки,,ГЭСН 81-02-46-2020,,,,
,,JEB,,,Разборка опалубки,,ГЭСН 81-02-46-2020,,,,
,,JEC,,,Заделка стыков опалубки,,ГЭСН 81-02-46-2020,,,,
,,JED,,,Насыщение поверхности водой,,ГЭСН 81-02-46-2020,,,,
,,JEE,,,Укладка смеси с одновременным распределением материала,,ГЭСН 81-02-46-2020,,,,
,JF,,,,Установка анкеров с применением составов на цементно-эпоксидной основе,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-012,
,,JFA,,,Разметка мест сверления,,ГЭСН 81-02-46-2020,,,,
,,JFB,,,Сверление отверстий под установку анкеров с применением составов на цементно-эпоксидной основе,,ГЭСН 81-02-46-2020,,,,
,,JFC,,,Обеспыливание отверстий,,ГЭСН 81-02-46-2020,,,,
,,JFD,,,Заполнение отверстий составом,,ГЭСН 81-02-46-2020,,,,
,,JFE,,,Установка анкеров,,ГЭСН 81-02-46-2020,,,,
,JG,,,,Гидроизоляция швов,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-013,
,,JGA,,,Выгрузка материалов на месте производства работ,,ГЭСН 81-02-46-2020,,,,
,,JGB,,,Очистка шва от пыли и грязи,,ГЭСН 81-02-46-2020,,,,
,,JGC,,,Заполнение шва герметическим материалом,,ГЭСН 81-02-46-2020,,,,
,,JGD,,,Выравнивание поверхности шва,,ГЭСН 81-02-46-2020,,,,
,,JGE,,,Зачистка кромок шва шлифмашинкой,,ГЭСН 81-02-46-2020,,,,
,,JGF,,,Укладка в тело шва пенополиэтиленового теплоизоляционного прокладочного шнура,,ГЭСН 81-02-46-2020,,,,
,,JGG,,,Очистка бетонной поверхности сжатым воздухом с помощью компрессора,,ГЭСН 81-02-46-2020,,,,
,,JGH,,,"Укладка гидроизоляционной ленты, включая стыковку",,ГЭСН 81-02-46-2020,,,,
,,JGJ,,,Нанесение клеевого состава на подготовленную поверхность,,ГЭСН 81-02-46-2020,,,,
,,JGK,,,Приготовление клея,,ГЭСН 81-02-46-2020,,,,
,,JGL,,,Запечатывание гидроизоляционной ленты клеевым составом,,ГЭСН 81-02-46-2020,,,,
