Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,FDB,,,Обследование состояния строительных конструкций,,СП 13-102-2004,,,
,,FDC,,,Обследование грунтов основания при реконструкции зданий,,СП 13-102-2004,,,
,FE,,,,Проведение инженерно-гидрологического обследования,,СП 13-102-2004,По виду работ,,
,,FEA,,,Уточнение собранных материалов о гидрогеологических условиях района (участка),,СП 13-102-2004,,,
,,FEB,,,Оценка собранных материалов о гидрогеологических условиях района (участка),,СП 13-102-2004,,,
,,FEC,,,Дополнительный сбор гидрогеологической информации,,СП 13-102-2004,,,"В случае недостаточной изученности территории, для составления программы (предписания) изысканий и проведения изыскательских работ"
,,FED,,,Санитарное обследование территории,,СП 13-102-2004,По виду работ,,
,,,FEDA,,Установление санитарного состояния территории,,СП 13-102-2004,,,
,FF,,,,Локальное обследование загрязнения грунтов,,СП 13-102-2004,,,
,FG,,,,Локальное обследование загрязнения грунтовых вод,,СП 13-102-2004,,,
,FH,,,,Техническое обследование зданий и сооружений,,СП 13-102-2004,По способу производства работ,,
,,FHA,,,Подготовка к проведению технического обследования,,СП 13-102-2004,По виду работ,,
,,,FHAA,,Выдача согласованного заказчиком технического задания на обследование,,СП 13-102-2004,,,
,,,FHAB,,Получение инвентаризационных поэтажных планов здания (сооружения),,СП 13-102-2004,,,
,,,FHAC,,Получение технических паспортов на здание (сооружение),,СП 13-102-2004,,,
,,,FHAD,,"Получение актов осмотров здания или сооружения, выполненных персоналом эксплуатирующей организации",,СП 13-102-2004,,,
,,,FHAE,,"Получение ведомостей дефектов здания или сооружения, выполненных персоналом эксплуатирующей организации",,СП 13-102-2004,,,
,,,FHAF,,Получение актов ранее проводившихся обследований здания (сооружения),,СП 13-102-2004,,,
,,,FHAG,,Получение отчетов ранее проводившихся обследований здания (сооружения),,СП 13-102-2004,,,
,,,FHAH,,Получение проектной документации на здание (сооружение),,СП 13-102-2004,,,
,,,FHAJ,,Получение информации о перестройках,,СП 13-102-2004,,,
,,,FHAK,,Получение информации о капитальном ремонте,,СП 13-102-2004,,,
,,,FHAL,,Получение информации о реконструкциях,,СП 13-102-2004,,,
,,,FHAM,,"Получение геоподосновы, выполненной специализированной организацией",,СП 13-102-2004,,,
,,,FHAN,,Получение материалов инженерно-геологических изысканий за последние пять лет,,СП 13-102-2004,,,
,,,FHAP,,Получение информации о местах расположения вблизи здания (сооружения) засыпанных оврагов,,СП 13-102-2004,,,
,,,FHAQ,,Получение информации о местах расположения вблизи здания (сооружения) карстовых провалов,,СП 13-102-2004,,,
,,,FHAR,,Получение информации о местах расположения вблизи здания (сооружения) зон оползней,,СП 13-102-2004,,,
,,,FHAS,,Получение информации о местах расположения вблизи здания (сооружения) опасных геологических явлений,,СП 13-102-2004,,,
,,,FHAT,,Получение согласованного с заказчиком протокола о порядке доступа к обследуемым конструкциям,,СП 13-102-2004,,,
,,,FHAU,,Получение согласованного с заказчиком протокола о порядке доступа к обследуемому инженерному оборудованию,,СП 13-102-2004,,,
,,,FHAV,,"Получение документации, полученной от компетентных городских органов, о месте подводки инженерных систем",,СП 13-102-2004,,,
,,,FHAW,,Составление программы обследования,,СП 13-102-2004,,,
,,FHB,,,Предварительное (визуальное) техническое обследование,,СП 13-102-2004,По виду работ,,
,,,FHBA,,Сплошное визуальное обследование конструкций здания,,СП 13-102-2004,,,
,,,FHBB,,Сплошное визуальное обследование инженерного оборудования,,СП 13-102-2004,,,
,,,FHBC,,Визуальное обследование электрических сетей,,СП 13-102-2004,,,
,,,FHBD,,Визуальное обследование средств связи,,СП 13-102-2004,,,
,,,FHBE,,Выявление дефектов по внешним признакам с необходимыми измерениями,,СП 13-102-2004,,,
,,,FHBF,,Выявление повреждений по внешним признакам с необходимыми измерениями,,СП 13-102-2004,,,
,,,FHBG,,Фиксация дефектов по внешним признакам,,СП 13-102-2004,,,
,,,FHBH,,Фиксация повреждений по внешним признакам,,СП 13-102-2004,,,
,,FHC,,,Детальное инструментальное обследование,,СП 13-102-2004,По виду работ,,
,,,FHCA,,Измерение для выявления геометрических параметров зданий (сооружений),,СП 13-102-2004,,,
,,,,FFCA010,Измерение для выявления геометрических параметров конструкций,,СП 13-102-2004,,,
,,,,FFCA020,Измерение для выявления геометрических параметров оборудования,,СП 13-102-2004,,,
,,,FHCB,,Инструментальное определение параметров дефектов,,СП 13-102-2004,,,
,,,FHCC,,Инструментальное определение параметров повреждений,,СП 13-102-2004,,,
,,,FHCD,,Инструментальное определение динамических параметров,,СП 13-102-2004,,,
,,,FHCE,,Определение фактических характеристик материалов основных несущих конструкций и их элементов,,СП 13-102-2004,,,
,,,FHCF,,Измерение параметров эксплуатационной среды,,СП 13-102-2004,,,
,,,FHCG,,"Определение реальных эксплуатационных нагрузок и воздействий, воспринимаемых обследуемыми конструкциями с учетом влияния деформаций грунтов основания",,СП 13-102-2004,,,
,,,FHCH,,Определение реальной расчетной схемы здания или сооружения и его отдельных конструкций,,СП 13-102-2004,,,
,,,FHCJ,,Определение реальной расчетной схемы отдельных конструкций здания или сооружения,,СП 13-102-2004,,,
,,,FHCK,,"Определение расчетных усилий в несущих конструкциях, воспринимающих эксплуатационные нагрузки",,СП 13-102-2004,,,
,,,FHCL,,Поверочный расчет несущей способности конструкций по результатам обследования,,СП 13-102-2004,,,
,,,FHCM,,Анализ причин появления дефектов в конструкциях,,СП 13-102-2004,,,
,,,FHCN,,Анализ причин появления повреждений в конструкциях,,СП 13-102-2004,,,
,,,FHCP,,Составление итогового документа (заключения) с выводами по результатам обследования,,СП 13-102-2004,,,
,FJ,,,,Проведение инженерно-экологического обследования,,СП 13-102-2004,По виду работ,,
,,FJA,,,"Установление основных компонентов природной среды, нуждающихся в мониторинге",,СП 13-102-2004,,,
,,FJB,,,"Определение системы наблюдаемых показателей, измерение фоновых значений",,СП 13-102-2004,,,
,,FJC,,,Измерение фоновых значений,,СП 13-102-2004,,,
,,FJD,,,Радиационное обследование участка,,СП 13-102-2004,,,
G,,,,,Проведение мониторинга,,СП 13-102-2004,По условию производства работ,,
,GA,,,,Проведение экологического мониторинга,,СП 13-102-2004,По виду работ,,
,,GAA,,,Проведение экологического мониторинга отдельных компонентов окружающей среды,,СП 13-102-2004,,,
,,GAB,,,Проектирование постоянно действующей системы экологического мониторинга,,СП 13-102-2004,,,
,,GAC,,,Проектирование оборудования и функционального обеспечения системы экологического мониторинга,,СП 13-102-2004,,,
,,GAD,,,Организация взаимодействия с системами мониторинга других ведомств,,СП 13-102-2004,,,
,,GAE,,,Проведение стационарных наблюдений с целью определения тенденций изменения показателей состояния среды,,СП 13-102-2004,,,
,,GAF,,,Отслеживание экологической ситуации,,СП 13-102-2004,,,
,,GAG,,,Моделирование экологической ситуации,,СП 13-102-2004,,,
,,GAH,,,Составление краткосрочных прогнозов экологических условий,,СП 13-102-2004,,,
,,GAJ,,,Составление долгосрочных прогнозов экологических условий,,СП 13-102-2004,,,
,,GAK,,,Выдача рекомендаций по результатам экологического мониторинга,,СП 13-102-2004,,,
,,GAL,,,Проведение мониторинга экологических условий конструкций при проведении ремонтно-реставрационных работ,,СП 13-102-2004,,,
,,GAM,,,Проведение мониторинга экологических условий помещений при проведении ремонтно-реставрационных работ,,СП 13-102-2004,,,
,GB,,,,Проведение геотехнического мониторинга,"Комплекс работ, основанный на натурных наблюдениях за поведением конструкций вновь возводимого или реконструируемого сооружения, его основания, в
том числе грунтового массива, окружающего (вмещающего) сооружение, и конструкций сооружений
окружающей застройки",СП 13-102-2004,По виду работ,,
,,GBA,,,Проведение геотехнического мониторинга нового строительства,,СП 13-102-2004,,,
,,GBB,,,"Проведение геотехнического мониторинга зданий, и сооружений, попадающих в зону влияния нового строительства",,СП 13-102-2004,,,
,,GBC,,,Контроль за изменением свойств грунтовых оснований,,СП 13-102-2004,,,
,,GBD,,,Проведение мониторинга состояния зданий и сооружений окружающей застройки в фоне влияния строительства,,СП 13-102-2004,,,
,,GBE,,,Проведение мониторинга опасных геологических процессов,,СП 13-102-2004,,,
,,,,GBE010,Проведение мониторинга опасных геологических процессов с использованием геофизических методов,,СП 13-102-2004,,,
,,,,GBE020,Проведение мониторинга опасных геологических процессов с использованием георадарных методов,,,,,
,,GBF,,,Выявление отклонений в состоянии конструкций,,СП 13-102-2004,,,
,,GBG,,,Выявление отклонений в работе конструкций,,СП 13-102-2004,,,
,,GBH,,,Проведение мониторинга окружающей территории при водопонижении,,СП 13-102-2004,,,
,,GBJ,,,Проведение мониторинга окружающей территории при устройстве глубоких котлованов,,СП 13-102-2004,,,
,,GBK,,,Определение параметров колебаний грунта входящих в зону влияния работ,,СП 13-102-2004,,,
,,GBL,,,Определение параметров колебаний конструкций входящих в зону влияния работ,,СП 13-102-2004,,,
,,GBM,,,Определение величины осадок и кренов различных частей зданий и сооружений,,СП 13-102-2004,,,
,,GBN,,,Проведение скважинных наблюдений за горизонтальными смещениями грунта,,СП 13-102-2004,,,
,,GBP,,,Проведение мониторинга изменений уровня грунтовых вод,,СП 13-102-2004,,,
,,GBQ,,,Проведение мониторинга изменений состава грунтовых вод,,СП 13-102-2004,,,
,,GBR,,,Контроль уплотнения грунта при земляных работах,,СП 13-102-2004,,,
,,GBS,,,Определение прочностных характеристик грунтов на месте залегания,,СП 13-102-2004,,,
,,GBT,,,Наблюдение за раскрытием трещин в конструкциях,,СП 13-102-2004,,,
,GC,,,,Проведение геодезического мониторинга ,,СП 13-102-2004,По виду работ,,
,,GCA,,,Проведение геодезических стационарных наблюдений за деформациями в районах развития опасных природных и техноприродных процессов,,СП 13-102-2004,По виду работ,,
,,,GCAA,,Проведение геодезического контроля точности геометрических параметров зданий и сооружений,,СП 13-102-2004,,,
,,,GCAB,,Проведение геодезического контроля точности геометрических параметров при прокладке сетей инженерно-технического обеспечения,,СП 13-102-2004,,,
,,,GCAC,,Составление исполнительной геодезической документации,,СП 13-102-2004,,,
,,,GCAD,,Проведение геодезических измерений смещения и деформации оснований,,СП 13-102-2004,,,
,,,GCAE,,Проведение геодезических измерений смещения и деформации конструкций зданий (сооружений),,СП 13-102-2004,,,
,GD,,,,Проведение геологического мониторинга,,СП 13-102-2004,По виду работ,,
,,GDA,,,Проведение стационарных наблюдений (локальный мониторинг компонентов геологической среды),Постоянные (непрерывные или периодические) наблюдения (измерения) за изменениями состояния отдельных факторов (компонентов) территории в заданных пунктах.,СП 13-102-2004,,,
,GE,,,,Проведение гидрологического мониторинга,,СП 13-102-2004,По виду работ,,
,,GEA,,,Наблюдения за характеристиками гидрологического режима водных объектов,,СП 13-102-2004,,,
,,GEB,,,Наблюдения за характеристиками климата,,СП 13-102-2004,,,
,,GEC,,,Эпизодические работы по изучению климата,,СП 13-102-2004,,,
,,GED,,,Эпизодические работы по изучению водных объектов,,СП 13-102-2004,,,
,GF,,,,Проведение локального мониторинга компонентов окружающей среды,,СП 13-102-2004,,,
,GG,,,,Проведение мониторинга технического состояния,,СП 13-102-2004,По виду работ,,
,,GGA,,,Разработка программы проведения мониторинга технического состояния,,СП 13-102-2004,,,
,,GGB,,,Проведение общего мониторинга технического состояния зданий и сооружений,,СП 13-102-2004,По виду работ,,
,,,GGBA,,Проведение мониторинга изменения напряженно-деформированного состояния,,СП 13-102-2004,,,
,,,GGBB,,Контроль технического состояния зданий и сооружений,,СП 13-102-2004,,,
,,,GGBC,,"Устранение возникающих негативных факторов, ведущих к ухудшению технического состояния",,СП 13-102-2004,,,
,,,GGBD,,"Выявление объектов, на которых произошли изменения напряженно-деформированного состояния несущих конструкций",,СП 13-102-2004,,,
,,,GGBE,,Обеспечение безопасного функционирования зданий и сооружений,,СП 13-102-2004,,,
,,,GGBF,,Отслеживание степени изменения технического состояния объекта,,СП 13-102-2004,,,
,,,GGBG,,Отслеживание скорости изменения технического состояния объекта,,СП 13-102-2004,,,
,,GGC,,,"Проведение мониторинга технического состояния зданий и сооружений, находящихся в ограниченно работоспособном или аварийном состоянии",,СП 13-102-2004,По условию производства работ,,
,,,GGCA,,"Проведение мониторинга процессов, протекающих в конструкциях зданий (сооружений) до выполнения работ по восстановлению или усилению объектов",,СП 13-102-2004,,,
,,,GGCB,,"Проведение мониторинга процессов, протекающих в грунте до выполнения работ по восстановлению или усилению объектов",,СП 13-102-2004,,,
,,,GGCC,,"Проведение мониторинга процессов, протекающих в конструкциях зданий (сооружений) во время проведения работ по восстановлению или усилению",,СП 13-102-2004,,,
,,,GGCD,,Определение текущих динамических параметров объекта,,СП 13-102-2004,,,
,,,GGCE,,Фиксация степени изменения ранее выявленных дефектов и повреждений конструкций объекта,,СП 13-102-2004,,,
,,,GGCF,,Выявление вновь появившихся дефектов и повреждений,,СП 13-102-2004,,,
,,,GGCG,,Проведение повторных измерений деформаций,,СП 13-102-2004,,,
,,,GGCH,,Анализ полученной на текущем этапе мониторинга информации,,СП 13-102-2004,,,
,,,GGCJ,,Подготовка заключения о текущем техническом состоянии объекта,,СП 13-102-2004,,,
,,GGD,,,"Проведение мониторинга технического состояния зданий и сооружений, попадающих в зону влияния нового строительства, реконструкции или природно-техногенных воздействий",,СП 13-102-2004,По условию производства работ,,
,,,GGDA,,Оценка геомеханического состояния до начала строительных работ,,СП 13-102-2004,,,
,,,GGDB,,Прогноз изменения геомеханического состояния породного массива под влиянием горных работ,,СП 13-102-2004,,,
,,,GGDC,,Проведение инструментальных наблюдений за сдвижением земной поверхности,,СП 13-102-2004,,,
,,,GGDD,,"Проведение инструментальных наблюдений за сдвижением объектов, расположенных на земной поверхности",,СП 13-102-2004,,,
,,,GGDE,,Определение абсолютных и относительных значений деформаций конструкций зданий (сооружений),,СП 13-102-2004,,,
,,,GGDF,,Сравнение полученных значений деформаций с расчетными и допустимыми значениями,,СП 13-102-2004,,,
,,,GGDG,,Выявление причин возникновения деформаций,,СП 13-102-2004,,,
,,,GGDH,,Выявление степени опасности деформаций для нормальной эксплуатации объектов,,СП 13-102-2004,,,
,,,GGDJ,,Принятие своевременных мер по борьбе с возникающими деформациями,,СП 13-102-2004,,,
,,,GGDK,,Уточнение расчетных данных грунтов,,СП 13-102-2004,,,
,,,GGDL,,Уточнение физико-механических характеристик грунтов,,СП 13-102-2004,,,
,,,GGDM,,Уточнение расчетных схем для различных типов зданий (сооружений),,СП 13-102-2004,,,
,,,GGDN,,Уточнение расчетных схем для различных коммуникаций,,СП 13-102-2004,,,
,,,GGDP,,Установление эффективности принимаемых профилактических и защитных мероприятий,,СП 13-102-2004,,,
,,,GGDQ,,Уточнение закономерностей процесса сдвижения грунтовых пород,,СП 13-102-2004,,,
,,,GGDR,,Уточнение зависимости параметров грунтовых пород от основных влияющих факторов на сдвижение,,СП 13-102-2004,,,
,,,GGDS,,Оценка зоны влияния динамических воздействий на окружающие здания и сооружения при погружении свайных элементов строящихся зданий,,СП 13-102-2004,,,
,,,GGDT,,Определение внешних границ мульды сдвижения на земной поверхности при подземном способе возведения объекта,,СП 13-102-2004,,,
,,,GGDU,,Определение значений ожидаемых максимальных сдвижений и деформаций земной поверхности при подземном способе возведения объекта,,СП 13-102-2004,,,
,,,GGDV,,Определение значений ожидаемых сдвижений и деформаций в точках мульды при подземном способе возведения объекта,,СП 13-102-2004,,,
,,,GGDW,,Определение общей продолжительности процесса сдвижения земной поверхности над производимой подземной выработкой,,СП 13-102-2004,,,
,,,GGDX,,Проведение геодезическо-маркшейдерских работ при мониторинге,,СП 13-102-2004,,,
,,,GGDY,,Наблюдение за деформациями оснований зданий (сооружений),,СП 13-102-2004,,,
,,,GGDZ,,Проведение маркшейдерских наблюдений,,СП 13-102-2004,,,
,,GGE,,,Проведение мониторинга технического состояния уникальных зданий и сооружений,,СП 13-102-2004,По условию производства работ,,
,,,GGEA,,Составление индивидуальных программ проведения измерений и анализа состояния зданий и сооружений,,СП 13-102-2004,,,
,,,GGEB,,Установка автоматизированной стационарной системы (станции) мониторинга технического состояния,,СП 13-102-2004,,,
,,,GGEC,,Настройка автоматизированной стационарной системы (станции) мониторинга,,СП 13-102-2004,,,
,,,GGED,,Выявление изменения напряженно-деформированного состояния конструкций с локализацией их опасных участков,,СП 13-102-2004,,,
,,,GGEE,,Определение уровня крена здания или сооружения,,СП 13-102-2004,,,
,,,GGEF,,Анализ различных измеренных параметров строительных конструкций,,СП 13-102-2004,,,
,,,GGEG,,Сравнение полученных данных с их предельными допустимыми значениями,,СП 13-102-2004,,,
,,,GGEH,,Установка системы мониторинга инженерно-технического обеспечения,,СП 13-102-2004,,,
,GH,,,,Проведение мониторинга температурно-влажностного режима,,СП 13-102-2004,,,
