Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,BQ,,,,Создание цифровой структуры базы данных элементов рельефа,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,BR,,,,Создание цифровой структуры базы данных ситуации,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,BS,,,,Создание цифровых условных обозначений элементов топографических карт,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,BT,,,,Создание цифровых условных обозначений элементов топографических планов,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,BU,,,,Создание структуры базы данных цифровых условных обозначений,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,BV,,,,Физическое моделирование взаимодействия зданий и сооружений с геологической средой,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,BW,,,,Математическое моделирование взаимодействия зданий и сооружений с геологической средой,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,BX,,,,Составление дефектных ведомостей,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
C,,,,,Полевые работы,"Технологические процессы производства, осуществляемые на местности",СП 446.1325800.2019,По виду работ,,
,CA,,,,Рекогносцировочное обследование,,СП 446.1325800.2019,По виду работ,,
,,CAA,,,Аэровизуальные наблюдения,,СП 446.1325800.2019,,,
,,CAB,,,Маршрутные наблюдения,,СП 446.1325800.2019,,,
,,CAC,,,Осмотр места изыскательских работ,,СП 446.1325800.2019,,,
,,CAD,,,Визуальная оценка рельефа,,СП 446.1325800.2019,,,
,,CAE,,,Описание имеющихся обнажений,,СП 446.1325800.2019,,,
,,CAF,,,Описание имеющихся карьеров,,СП 446.1325800.2019,,,
,,CAG,,,Описание имеющихся строительных выработок,,СП 446.1325800.2019,,,
,,CAH,,,Описание водопроявлений,,СП 446.1325800.2019,,,
,,CAJ,,,Описание геоботанических индикаторов гидрогеологических,,СП 446.1325800.2019,,,
,,CAK,,,Описание геоботанических индикаторов экологических условий,,СП 446.1325800.2019,,,
,,CAL,,,Описание внешних проявлений геодинамических процессов,,СП 446.1325800.2019,,,
,,CAM,,,Опрос местного населения,,СП 446.1325800.2019,,"Опрос местного населения о проявлении опасных геологических и инженерно-геологических процессов
Опрос местного населения об имевших место чрезвычайных ситуациях",
,CB,,,,Инженерно-геодезические полевые работы,,"СП 126.13330.2017
СП 11-104-97
СБЦ",По виду работ,,
,,CBA,,,Создание опорных геодезических сетей,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",По виду работ,,
,,,CBAA,,Создание планово-высотных съемочных геодезических сетей,,"СП 126.13330.2017
СП 11-104-97
СБЦ",По условию производства работ,,
,,,,CBAA010,Создание геодезических сетей специального назначения,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,,CBAA020,Создание геодезической разбивочной основы для выноса в натуру сетей инженерно-технического обеспечения,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,,CBAA030,Создание геодезической разбивочной основы для выноса в натуру основных осей возводимых объектов,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,,CBAA040,Создание геодезической разбивочной основы для проведения мониторинга осадок и кренов сооружения в период его строительства,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBAB,,Создание нивелирной сети,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,,CBAB010,Создание нивелирной сети I класса,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,,CBAB020,Создание нивелирной сети II класса,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,,CBAB030,Создание нивелирной сети III класса,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBAC,,Производство детальных разбивочных работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,CBB,,,Геодезическая съемка подземных коммуникаций,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,CBC,,,Геодезическая съемка сооружений,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
