Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Примечания
,AB,,,,Объекты ветеринарии и агробиологии,,Классификатор ОКС по НФТО,По виду ОКС,,1.2,
,,ABA,,,Здание (сооружение) объектов ветеринарного обслуживания,,Классификатор ОКС по НФТО,,"Здание амбулатории ветеринарной станции
Здание ветеринарного лечебно­профилактического учреждения
Здание ветеринарной аптеки
Здание приюта для домашних животных",1.2,
,,ABB,,,Агробиологическая станция,Научно-исследовательское и учебное учреждение,Классификатор ОКС по НФТО,,"Здание лаборатории по биологической борьбе с вредными насекомыми и болезнями сельскохозяйственных культур
Здание контрольно-семенной лаборатории",1.2.1.4,Синтезированное определение
,AC,,,,Объекты лесного хозяйства,,Классификатор ОКС по НФТО,По виду ОКС,,,
,,ACA,,,Здание (сооружение) объектов лесоводства,,Классификатор ОКС по НФТО,,"Здание цеха по переработке пищевых продуктов леса
Сооружение для стратификации лесных семян
Сооружение инсектария",1.6.1,
,,ACB,,,Здание (сооружение) объектов лесопромышленных предприятий,,Классификатор ОКС по НФТО,,"Здание (сооружение) лесозаготовительного предприятия
Здание (сооружение) лесоперевалочной базы",1.7.1,
,,ACC,,,Здание (сооружение) объектов ремонта техники лесной промышленности,,Классификатор ОКС по НФТО,,"Здание ремонтно-механической мастерской лесозаготовительной техники
Здание ремонтно-строительного цеха завода лесоводства и лесозаготовки
Здание центральной ремонтной мастерской для обслуживания и ремонта лесозаготовительной техники",1.9.9,
,AD,,,,"Здание (сооружение) объектов производства пушнины, добытой в результате охоты",,Классификатор ОКС по НФТО,По виду ОКС,"Здание цеха первичной обработки шкур
Здание цеха производства пушнины",1.5.1,
,AE,,,,Объекты рыбоводного хозяйства,,Классификатор ОКС по НФТО,По виду ОКС,,1.5.1,
,,AEA,,,Здание (сооружение) объектов выращивания морских видов рыб,,Классификатор ОКС по НФТО,,"Здание воспроизводственного комплекса для получения молоди морских растительноядных и других видов рыб
Здание рыбоводного цеха по выращиванию молоди дальневосточного лосося
Здание рыбоводного цеха по выращиванию покатников семги, атлантического лосося, каспийского лосося, стальноголового лосося, форели, чавычи, кижуча, нерки и симы",1.5.1,
,,AEB,,,Здание (сооружение) объектов пресноводного рыбоводного хозяйства,,Классификатор ОКС по НФТО,,"Здание зимовального комплекса
Здание инкубационно-выростного цеха
Здание осетрового рыбоводного цеха",1.5.1,
,AF,,,,Сооружения объектов мелиорации,,Классификатор ОКС по НФТО,По виду ОКС,,1.4,
,,AFA,,,Сооружение инженерной инфраструктуры в мелиорации,,Классификатор ОКС по НФТО,,"Подпорное гидротехническое сооружение мелиоративного гидроузла
Сбросное автоматическое сооружение
Сооружение водомерного лотка с гидрометрическим колодцем",1.4.2,
,,AFB,,,"Сооружение системы орошения, осушения",,Классификатор ОКС по НФТО,,"Водозаборное сооружение при бесплотинном заборе
Водозаборное сооружение при водохранилищной плотине
Сооружение акведука",1.4.1,
,AG,,,,Объекты растениеводства,,Классификатор ОКС по НФТО,По виду ОКС,,1.1,
,,AGA,,,Здание (сооружение) объектов выращивания винограда,,Классификатор ОКС по НФТО,,"Здание корпуса виноградных прививок
Здание питомника и селекции винограда
Здание сушки винограда",1.1.1,
,,AGB,,,Здание (сооружение) объектов выращивания хмеля,,Классификатор ОКС по НФТО,,"Здание питомника и селекции хмеля
Здание сортировки и первичной переработки хмеля",1.1.4,
,,AGC,,,Здание (сооружение) объектов обработки и хранения зерна и семян,,Классификатор ОКС по НФТО,,"Здание цеха вторичной очистки и калибрования семян
Здание цеха обмолота и первичной очистки семян
Здание цеха обработки зерна",1.1.2,
,,AGD,,,Здание (сооружение) объектов хлопкового растениеводства,,Классификатор ОКС по НФТО,,"Здание лаборатории контроля качества хлопка-сырца
Здание цеха обеззараживания посевных семян
Здание цеха оголения посевных семян",1.1.5,
,,AGE,,,Здание (сооружение) объектов производства рассады,,Классификатор ОКС по НФТО,,"Здание цеха пастеризации субстрата и проращивания мицелия
Здание цеха приготовления субстрата и покровной земли",1.1.3,
,,AGF,,,Здание (сооружение) объектов тепличных комбинатов и комплексов,"Комплекс производственных, вспомогательных, административно-хозяйственных построек, предназначенных для выращивания овощей.","Классификатор ОКС по НФТО
СП 107.13330.2012",,"Здание агрохимлаборатории (биолаборатории)
Сооружение для приготовления и хранения почвенных смесей
Сооружение теплицы",1.9.13,
,,AGG,,,Здание (сооружение) объектов садоводческого растениеводства,,Классификатор ОКС по НФТО,,Здание селекционной станции,,
,AH,,,,Объекты предприятий биопромышленности,,Классификатор ОКС по НФТО,По виду ОКС,,1.9.3,
,,AHA,,,Здание (сооружение) объектов по производству вакцин,,Классификатор ОКС по НФТО,,Здание биофабрики производства вакцин,1.9.3.2,
,,AHB,,,Здание (сооружение) объектов по производству лечебных сывороток,,Классификатор ОКС по НФТО,,Здание биофабрики производства лечебных сывороток,1.9.3.3,
,,AHC,,,Здание (сооружение) вспомогательных объектов предприятий биопромышленности,,Классификатор ОКС по НФТО,,"Здание клиники для животных
Здание клинико-диагностического корпуса
Здание контрольной лаборатории",1.9.3,
,AJ,,,,"Объекты вспомогательной инфраструктуры сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",,Классификатор ОКС по НФТО,По виду ОКС,,1.9,
,,AJA,,,Сооружение водопойного пункта,,Классификатор ОКС по НФТО,,"Сооружение водопойного пункта с водозабором воды из поверхностных источников из реки, канала, пруда, озера
Сооружение водопойного пункта с забором воды из группового водопровода
Сооружение водопойного пункта с забором подземных вод из каптажа родников",1.9.2,
,,AJB,,,Здание (сооружение) моторо-тракторных станций,,Классификатор ОКС по НФТО,,"Здание цеха предпродажного обслуживания сельскохозяйственной техники
Здание цеха сборки сельскохозяйственной техники",1.9.8,
,,AJC,,,Здание (сооружение) объектов обезвреживания результатов деятельности сельскохозяйственных предприятий,,Классификатор ОКС по НФТО,,"Здание цеха обезвоживания навозных стоков
Сооружение навозохранилища
Сооружение очистки жиросодержащих стоков",1.9.12,
,,AJD,,,"Здание (сооружение) объектов предприятий ремонта, технического обслуживания и хранения сельскохозяйственной техники",,Классификатор ОКС по НФТО,,"Здание цеха по ремонту автотракторного электрооборудования
Здание цеха по ремонту комбайнов
Здание цеха по ремонту сельскохозяйственной техники",1.9.11,
B,,,,,Объекты добывающей промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,2,
,BA,,,,Объекты добычи и обогащения железных руд,,Классификатор ОКС по НФТО,По виду ОКС,,2.4,
,,BAA,,,Здание (сооружение) объектов добычи железных руд открытым способом,,Классификатор ОКС по НФТО,,"Сооружение дробильно­перегрузочного пункта железных руд
Сооружение рудного разреза добычи железных руд",2.4.1,
,,BAB,,,Здание (сооружение) объектов добычи железных руд подземным способом,,Классификатор ОКС по НФТО,,"Здание подачи в шахту добычи железных руд электроэнергии
Сооружение вентиляционного ствола шахты добычи железных руд
Сооружение временного хранения и отгрузки железной руды",2.4.2,
,,BAC,,,Здание (сооружение) объектов обогащения железных руд,,Классификатор ОКС по НФТО,,"Здание цеха дробления, грохочения сырья железных руд
Здание цеха сепарации сырья железных руд",2.4.3,
,,BAD,,,Здание (сооружение) вспомогательных объектов при добыче и обогащении железных руд,,Классификатор ОКС по НФТО,,"Здание мастерской по ремонту горных механизмов и оборудования шахты добычи железных руд
Здание обеспечения и работы инженерно-технических служб шахты добычи железных руд",2.8.4,
,BB,,,,Объекты добычи и обогащения руд цветных металлов,,Классификатор ОКС по НФТО,По виду ОКС,,2.5,
,,BBA,,,Здание (сооружение) объектов добычи руд цветных металлов открытым способом,,Классификатор ОКС по НФТО,,"Сооружение дробильно­перегрузочного пункта руд цветных металлов
Сооружение рудного разреза добычи руд цветных металлов",2.5.1,
,,BBB,,,Здание (сооружение) объектов добычи руд цветных металлов закрытым способом,,Классификатор ОКС по НФТО,,"Сооружение вентиляционного ствола шахты добычи руд цветных металлов
Сооружение шахты добычи руд цветных металлов",2.5.2,
,,BBC,,,Здание (сооружение) объектов обогащения руд цветных металлов,,Классификатор ОКС по НФТО,,"Здание цеха дробления, грохочения сырья руд цветных металлов
Здание цеха сепарации сырья руд цветных металлов",2.5.3,
,BC,,,,"Объекты добычи полезных ископаемых, кроме топливно-энергетических",,Классификатор ОКС по НФТО,По виду ОКС,,2,
,,BCA,,,Здание (сооружение) объектов добычи минерального сырья для химической промышленности и производства минеральных удобрений,,Классификатор ОКС по НФТО,,"Здание цеха очистки и обогащения серы
Здание цеха обогащения сырья
Шахта по добычи сырья для химической промышленности и производства минеральных удобрений",2.6.1,
,,BCB,,,Здание (сооружение) объектов добычи соли,,Классификатор ОКС по НФТО,,"Здание цеха дробления и очистки соли от примесей
Сооружение шахты добычи соли",2.7.1,
,,BCC,,,Здание (сооружение) объектов добычи инертных материалов для строительства,"Совокупность горных выработок, образованных при добыче твердых полезных ископаемых открытым способом","Классификатор ОКС по НФТО
СП 103.13330.2012",,Сооружение карьера,,
,BD,,,,Объекты добычи природного газа,,Классификатор ОКС по НФТО,По виду ОКС,,2.3,
,,BDA,,,Здание (сооружение) объектов добычи природного газа и конденсата,,Классификатор ОКС по НФТО,,"Здание лаборатории для анализа проб продукции газовых скважин
Сооружение берегового технологического комплекса
Сооружение куста газовых скважин (газового месторождения)",2.3.1,
,,BDB,,,Здание (сооружение) объектов переработки газа,,Классификатор ОКС по НФТО,,"Здание центрального пункта управления
Сооружение коллектора трубопровода
Сооружение компрессорной станции сжатого воздуха с установкой осушки для нужд КИП",2.3.2,
,,BDC,,,"Здание (сооружение) объектов сбора, подготовки и транспорта газа",,Классификатор ОКС по НФТО,,"Здание операторной при транспорте газа
Сооружение дожимной компрессорной станции
Сооружение компрессорной станции внешнего транспорта газа
Сооружение промыслового трубопровода газовых месторождений",2.3.4,
,,BDD,,,Здание производственной базы при добыче газа,,Классификатор ОКС по НФТО,,"Здание базы производственного обслуживания вышкомонтажной конторы (БПО ВМК) при добыче газа
Здание базы производственного обслуживания нефтегазодобывающего управления (БПО НГДУ) при добыче газа
Здание промыслово-геофизической базы",2.3.3,
,BE,,,,Объекты добычи сырой нефти,,Классификатор ОКС по НФТО,По виду ОКС,,2.2,
,,BEA,,,Здание (сооружение) объектов добычи сырой нефти из скважин,,Классификатор ОКС по НФТО,,"Морское нефтегазовое сооружение (платформа)
Сооружение дожимной нефтенасосной станции
Сооружение наблюдательной скважины на водоносные горизонты",2.2.1,
,,BEB,,,"Здание (сооружение) объектов подготовки нефти, газа и воды",,Классификатор ОКС по НФТО,,"Сооружение для улавливания нефтяных газов, выбрасываемых из технологического оборудования
Сооружение компрессорной газа при подготовке нефти и газа
Сооружение концевой ступени сепарации при подготовке нефти и газа",2.2.3,
,,BEC,,,Здание (сооружение) объектов поддержания пластового давления,,Классификатор ОКС по НФТО,,"Сооружение водовода высокого давления
Сооружение водораспределительного пункта при добыче нефти и газа
Сооружение газопровода высокого давления
Сооружение компрессорной станции для газлифтной добычи нефти и закачки в пласт газа высокого давления",2.2.4,
,,BED,,,Здание (сооружение) объектов сбора и транспорта нефти и нефтяного газа,,Классификатор ОКС по НФТО,,"Водозаборное сооружение из артезианской скважины
Здание операторной при транспорте нефти и нефтяного газа
Сооружение групповой распределительной гребенки при транспорте нефти и нефтяного газа",2.2.2,
,,BEE,,,Здание (сооружение) объектов термического воздействия на пласт,,Классификатор ОКС по НФТО,,"Очистное сооружение по подготовке воды на нужды парогенераторной и промывки фильтров при добыче нефти и газа
Очистное сооружение хозбытовых и производственных сточных вод при добыче нефти и газа
Сооружение внутрипластового горения при добыче нефти и газа",2.2.5,
,,BEF,,,Здание (сооружение) объектов производственных баз при добыче нефти и газа,,Классификатор ОКС по НФТО,,"Здание базы производственного обслуживания вышкомонтажной конторы (БПО ВМК) при добыче нефти и газа
Здание базы производственного обслуживания нефтегазодобывающего управления
Здание базы производственного обслуживания нефтегазодобывающего управления (БПО НГДУ) при добыче нефти и газа",2.2.6,
,BF,,,,Объекты добычи угля и антрацита,,Классификатор ОКС по НФТО,По виду ОКС,,2.1.1,
,,BFA,,,Здание (сооружение) объектов добычи угля,,Классификатор ОКС по НФТО,,"Сооружение главного ствола шахты добычи угля и антрацита
Сооружение спуска и подъёма людей в шахту добычи угля и антрацита
Сооружение угольного разреза",2.1.1,
,,BFB,,,Здание (сооружение) вспомогательных объектов при добыче и обогащении угля и антрацита,,Классификатор ОКС по НФТО,,"Здание административно-бытового комплекса разреза
Здание мастерской по ремонту горных механизмов и оборудования шахты добычи угля и антрацита
Здание обеспечения и работы инженерно-технических служб шахты добычи угля и антрацита",2.8.3,
,BG,,,,Вспомогательные объекты добывающей промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,2.8,
,,BGA,,,Здание (сооружение) объектов геологоразведки,,Классификатор ОКС по НФТО,,"Здание геологической лаборатории
Здание стационарной геологической и геофизической разведки",2.8.2,
,,BGB,,,Здание (сооружение) производственно-технических баз,,Классификатор ОКС по НФТО,,Здание производственно-технической базы геологической организации,2.8.1.1,
C,,,,,Объекты обрабатывающей промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,,
,CA,,,,Объекты коксохимической и нефтеперерабатывающей промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,,
,,CAA,,,Здание (сооружение) объектов коксохимической промышленности,,Классификатор ОКС по НФТО,,"Здание коксового цеха
Здание пекококсового цеха
Здание смолоперерабатывающего цеха",6.1,
,,CAB,,,Объекты нефтеперерабатывающей и нефтехимической промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,6.2,
,,,CABA,,Здание (сооружение) объектов нефтехимического производства для НПЗ,,Классификатор ОКС по НФТО,По виду ОКС,,6.2.2.1,
,,,CABB,,"Здание (сооружение) объектов подсобно­производственного, вспомогательного и общезаводского назначения нефтеперерабатывающей промышленности",,Классификатор ОКС по НФТО,,"Здание анализаторной
Здание заводоуправления, управления производственным объединением, комбинатом
Здание операторной, контроллерной, управления производством, цехом",6.2.9,
,,,CABC,,Здание (сооружение) объектов предприятий переработки нефти,,Классификатор ОКС по НФТО,,"Здания (сооружения) вторичной переработки нефти
Здания (сооружения) глубокой переработки нефти
Здания (сооружения) первичной переработки нефти",6.2.10,
