Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Примечания
,,,CBGD,,Здание (сооружение) объектов производства изделий из текстиля,,Классификатор ОКС по НФТО,,"Здание гардинно-тюлевого или кружевного цеха
Здание лентоткацкого цеха",4.1.2,
,,,CBGE,,Здание (сооружение) объектов производства льна и пенько-джута,,Классификатор ОКС по НФТО,,"Здание льночесального цеха
Здание отделочного цеха
Здание прядильного цеха",4.1.4,
,,,CBGF,,Здание (сооружение) объектов производства полуфабрикатов,,Классификатор ОКС по НФТО,,Здание цеха производства полумассы,4.1.1.1,
,,,CBGG,,Здание (сооружение) объектов производства тканей с ПВХ покрытием,,Классификатор ОКС по НФТО,,"Здание цеха по производству столовой клеенки с поливинилхлоридным покрытием
Здание цеха по производству тентовой ткани",4.1.5,
,,,CBGH,,Здание (сооружение) объектов производства хлопчатобумажных тканей,,Классификатор ОКС по НФТО,,"Здание красильно-отделочного или ситцепечатного цеха хлопчатобумажных или штапельных тканей
Здание отделочного цеха бельевых хлопчатобумажных и искусственных штапельных и технических тканей
Здание отделочного цеха одежных или неотбеливаемых, или технических или штапельных тканей",4.1.6,
,,,CBGJ,,"Здание (сооружение) объектов производства шелковых нитей, тканей",,Классификатор ОКС по НФТО,,"Здание красильно-отделочного цеха для выработки гладкокрашеных набивных тканей
Здание крутильного цеха для выработки крученых шелков
Здание ткацкого цеха для выработки гладевых тканей",4.1.7,
,,,CBGK,,Здание (сооружение) объектов производства шерстяных тканей,,Классификатор ОКС по НФТО,,"Здание аппаратно-прядильного цеха для выработки трикотажной пряжи
Здание камвольно-прядильного цеха для выработки трикотажной пряжи
Здание прядильного цеха гребенного кольцевого прядения шерсти",4.1.8,
,CC,,,,Объекты металлургии,,Классификатор ОКС по НФТО,По виду ОКС,,10,
,,CCA,,,Здание (сооружение) объектов сталеплавильного производства,,Классификатор ОКС по НФТО,,"Здание взрывного цеха
Здание конвертерного цеха сталеплавильного завода
Здание копрового цеха",10.1.1,
,,CCB,,,Здание (сооружение) объектов прокатного производства металлургии,,Классификатор ОКС по НФТО,,"Здание цеха крупносортового проката
Здание цеха по производству горячекатаных полос и листов
Здание цеха производства безшовных труб",10.2.2,
,,CCC,,,"Объекты промышленности драгоценных, цветных металлов",,Классификатор ОКС по НФТО,По виду ОКС,,10.2.2,
,,,CCCA,,Здание (сооружение) объектов вторичной цветной металлургии,,Классификатор ОКС по НФТО,,"Здание плавильного цеха завода алюминиевых сплавов в чушках и слитках из лома и отходов цветных металлов
Здание плавильного цеха завода медных сплавов в чушках и слитках из лома и отходов цветных металлов и сплавов
Здание цеха вторичного олова и отходов консервной тары",10.4.13,
,,,CCCB,,Здание (сооружение) объектов медеплавильного и медеэлектролитного производства,,Классификатор ОКС по НФТО,,"Здание анодного цеха
Здание конвертерного цеха медеплавильного и медеэлектролитного завода
Здание купоросного цеха",10.4.7,
,,,CCCC,,Здание (сооружение) объектов никель-кобальтового производства,,Классификатор ОКС по НФТО,,"Здание ванного цеха цеха электролиза никеля
Здание гидрометаллургического (автоклавного) цеха по переработке пирротинового концентрата
Здание кобальтового цеха",10.4.2,
,,,CCCD,,Здание (сооружение) объектов обработки цветных металлов,,Классификатор ОКС по НФТО,,"Здание проволочного цеха с выпуском проволоки валовых сплавов
Здание трубопрессового цеха с выпуском труб валовых сплавов
Здание фольгопрокатного цеха",10.4.12,
,,,CCCE,,Здание (сооружение) объектов производства алюминиевой и электродной промышленности,,Классификатор ОКС по НФТО,,"Здание анодно-монтажного цеха
Здание печного цеха алюминиевой и электродной промышленности металлургии
Здание цеха механической обработки электродов",10.4.11,
,,,CCCF,,Здание (сооружение) объектов производства драгоценных металлов,,Классификатор ОКС по НФТО,,"Здание цеха аффинажа платины
Здание цеха обогащения руд драгоценных металлов
Здание цеха производства золота, накатанного на металлическую основу",10.4.1,
,,,CCCG,,Здание (сооружение) объектов производства редких и полупроводниковых материалов,,Классификатор ОКС по НФТО,,"Здание опытного цеха получения чистых металлов или чистых соединений редких элементов
Здание цеха металлургического производства полупроводниковых материалов или особо чистых веществ
Здание цеха переработки плава хлоридов, редких металлов с получением суммы окисей",10.4.3,
,,,CCCH,,Здание (сооружение) объектов производства тугоплавких металлов и твердых сплавов,,Классификатор ОКС по НФТО,,"Здание гидрометаллургического цеха
Здание цеха антикоррозийных покрытий
Здание цеха керамических или графитовых изделий
Здание цеха металлокерамических твердых сплавов",10.4.4,
,,,CCCJ,,Здание (сооружение) объектов ртутного и сурьмяного производства,,Классификатор ОКС по НФТО,,"Здание обжигового цеха ртутных и сурьмяных заводов
Здание обжигового цеха с котлами- охладителями огарка без газоочистки
Здание плавильного цеха с фьюмингованием",10.4.5,
,,,CCCK,,Здание (сооружение) объектов свинцового производства,,Классификатор ОКС по НФТО,,"Здание плавильного цеха свинцового завода
Здание рафинировочного цеха
Здание цеха дробления и грохочения оборотного агломерата",10.4.6,
,,,CCCL,,Здание (сооружение) объектов титано-магниевого производства,,Классификатор ОКС по НФТО,,"Здание цеха восстановления и сепарации
Здание цеха литья магния с рафинированием и складом готовой продукции
Здание цеха переработки титановой губки",10.4.8,
,,,CCCM,,Здание (сооружение) печей промышленности алюминия,,Классификатор ОКС по НФТО,,"Здание цеха печи для плавки и пульверизации алюминия
Здание цеха электролизера с обожженными анодами
Здание цеха электролизера с самообжигающимися анодами с укрытием",10.4.10,
,,,CCCN,,Здание (сооружение) объектов цинковых заводов,,Классификатор ОКС по НФТО,,"Здание вельц-цеха
Здание кадмиевого цеха с купоросным отделением
Здание обжигового цеха цинкового завода",10.4.9,
,,CCD,,,"Здание (сооружение) объектов промышленности стальных труб, металлоконструкций, полых профилей и фитингов",,Классификатор ОКС по НФТО,,"Здание цеха по производству проволоки методом холодного волочения
Здание цеха по производству профилей с помощью холодной штамповки или гибки
Здание цеха по производству стальных прутков и сплошных профилей методом холодного волочения",10.3.3,
,,CCE,,,Здание (сооружение) объектов промышленности ядерного топлива,,Классификатор ОКС по НФТО,,"Здание цеха выщелачивания, дробления и экстракционного или сорбционного извлечения ядерного топлива
Здание цеха газовых центрифуг
Здание цеха обогащения ядерного топлива",10.5.2,
,,CCF,,,Вспомогательные объекты металлургической промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,10.5.2,
,,,CCFA,,Здание (сооружение) вспомогательных объектов металлургических производств,,Классификатор ОКС по НФТО,,"Здание (сооружение) водородной станции с отделениями осушки, очистки и тонкой очистки газов
Здание (сооружение) кислородной, водородной или азотной станции
Здание (сооружение) очистки сточных вод сорбцией объекта металлургии",10.6.5,
,,,CCFB,,Здание (сооружение) объектов газового хозяйства металлургических производств,,Классификатор ОКС по НФТО,,"Здание лаборатории по приготовлению технических смесей
Здание цеха газоочистки
Здание цеха по ремонту и испытанию баллонов",10.6.3,
,,,CCFC,,Здание (сооружение) объектов агломерационного производства,,Классификатор ОКС по НФТО,,"Здание агломерационного цеха
Здание дробления и сортировки флюсов агломерационного производства
Здание измельчения твердого топлива агломерационного производства",10.6.1,
,,,CCFD,,"Сооружение сетей водоснабжения, канализации и очистки стоков предприятий металлургии",,Классификатор ОКС по НФТО,,"Здание (сооружение) насосной станции фенольных, шламовых, дренажных, хозбытовых и нагретых вод
Здание цеха водоснабжения и канализации
Очистное сооружение шламовых вод",10.6.4,
,,,CCFF,,Здание (сооружение) объектов теплосиловых хозяйств,,Классификатор ОКС по НФТО,,"Здание тепловой утилизационной электростанции
Здание энергоблока
Здание энергоцентра завода с центральным диспетчерским пунктом",10.6.2,
,CD,,,,Объекты пищевой промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,10.6.2,
,,CDA,,,"Объекты мясной, молочной, масложировой промышленности",,Классификатор ОКС по НФТО,По виду ОКС,,10.6.2,
,,,CDAA,,Здание (сооружение) объектов масложирового производства,,Классификатор ОКС по НФТО,,"Здание вальцового участка (цеха)
Здание маслопрессового участка (цеха)
Здание маслоэкстракционного участка (цеха)",3.1.2,
,,,CDAB,,Здание (сооружение) объектов молочной промышленности,,Классификатор ОКС по НФТО,,"Здание цеха производства консервированной молочной продукции
Здание цеха производства масла
Здание цеха производства сыра",3.1.3,
,,,CDAC,,Здание (сооружение) объектов мясной промышленности,,Классификатор ОКС по НФТО,,"Здание консервного цеха мясной промышленности
Здание мясокомбината (хладобойни)
Здание птицекомбината",3.1.1,
,,CDB,,,Объекты плодоовощной промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,3.1.1,
,,,CDBA,,Здание (сооружение) объектов переработки плодов и овощей в виде консервов,,Классификатор ОКС по НФТО,,"Здание цеха по производству плодоовощных консервов
Здание цеха производства концентрированного сока",3.3.2,
,,,CDBB,,Здание (сооружение) объектов переработки плодов и овощей в виде неконсервированных (нефасованных) продуктов,,Классификатор ОКС по НФТО,,"Здание цеха производства сухого пищевого пектина
Здание квасильно-засолочного цеха
Здание цеха производства быстрозамороженной плодоовощной и картофельной продукции",3.3.2,
,,CDC,,,Объекты промышленности безалкогольных напитков,,Классификатор ОКС по НФТО,По виду ОКС,,3.3.2,
,,,CDCA,,"Здание (сооружение) объектов безалкогольного производства и розлива воды, минеральной воды",,Классификатор ОКС по НФТО,,"Здание цеха по производству безалкогольных напитков
Здание цеха по производству сухих порошкообразных смесей, концентрированных соков и экстрактов из растительного сырья
Здание цеха производства концентрата безалкогольных налитков",3.7.2,
,,,CDCB,,Здание (сооружение) объектов производства и розлива безалкогольных соков,,Классификатор ОКС по НФТО,,"Здание цеха производства виноградного или фруктового соков
Здание цеха розлива соков из овощей",3.7.1,
,,CDD,,,Объекты промышленности алкогольных напитков,,Классификатор ОКС по НФТО,По виду ОКС,,3.7.1,
,,,CDDA,,Здание (сооружение) объектов винодельческого производства,,Классификатор ОКС по НФТО,,"Здание цеха выдержки вина
Здание цеха переработки винограда винодельческого производства
Здание цеха производства и розлива шампанских вин",3.6.1,
,,,CDDB,,Здание (сооружение) объектов пивобезалкогольного производства,,Классификатор ОКС по НФТО,,Здание цеха производства пива,3.6.3,
,,,CDDC,,Здание (сооружение) объектов спиртового производства,,Классификатор ОКС по НФТО,,"Здание цеха ликероводочных изделий
Здание цеха производства и розлива коньяков
Здание цеха производства спирта",3.6.2,
,,CDE,,,Объекты промышленности бакалейных продуктов,,Классификатор ОКС по НФТО,По виду ОКС,,3.6.2,
,,,CDEA,,Здание (сооружение) объектов переработки чая,,Классификатор ОКС по НФТО,,"Здание цеха переработки чайного листа
Здание чаеразвесочного цеха",3.4.3,
,,,CDEB,,"Здание (сооружение) объектов предприятий пищепроизводства, пищевых концентратов и макаронных изделий",,Классификатор ОКС по НФТО,,"Здание цеха макаронных изделий
Здание цеха пищевых концентратов",3.4.4,
,,,CDEC,,Здание (сооружение) объектов производства кофе,,Классификатор ОКС по НФТО,,"Здание цеха по производству кофе в зернах
Здание цеха по производству молотого кофе",3.4.7,
,,,CDED,,Здание (сооружение) объектов производства мукомольно- крупяной промышленности,,Классификатор ОКС по НФТО,,"Здание мелькомбината
Здание мельничного цеха с корпусом бестарного хранения муки
Здание цеха мукомольно-крупяной промышленности",3.4.1,
,,,CDEE,,Здание (сооружение) объектов производства сахара и патоки,,Классификатор ОКС по НФТО,,"Здание производства и хранения гранулированного жома
Здание производственного корпуса сахарного завода
Здание цеха по производству глюкозо-фруктозного сиропа",3.4.5,
,,,CDEF,,"Здание (сооружение) объектов производства соли, приправ и пряностей",,Классификатор ОКС по НФТО,,"Здание цеха по фасовке соли без отделений помола и классификации
Здание цеха производства приправ и пряностей
Здание цеха фасовки соли",3.4.2,
,,,CDEG,,Здание (сооружение) объектов производства солода и крахмала,,Классификатор ОКС по НФТО,,"Здание цеха переработки картофеля и кукурузы на сухой крахмал
Здание цеха производства солода
Здание цеха производства сырого крахмала, кормов, масла и экстракта",3.4.6,
,,CDF,,,Объекты промышленности пищевых продуктов и блюд,,Классификатор ОКС по НФТО,По виду ОКС,,3.4.6,
,,,CDFA,,Здание (сооружение) объектов производства готовых блюд и продуктов питания,,Классификатор ОКС по НФТО,,"Здание цеха мороженого
Здание цеха производства мясных готовых блюд
Здание цеха производства овощных готовых блюд
Здание цеха производства рыбных готовых блюд",3.9.1,
,,,CDFB,,Здание (сооружение) объектов производства полуфабрикатов и кулинарных изделий с первичной и без первичной обработки,,Классификатор ОКС по НФТО,,"Здание цеха по производству кулинарных изделий
Здание цеха по производству полуфабрикатов",3.9.2,
,,CDG,,,Объекты промышленности прочих пищевых продуктов,,Классификатор ОКС по НФТО,По виду ОКС,,3.9.2,
,,,CDGA,,Здание (сооружение) объектов производства детского питания,,Классификатор ОКС по НФТО,,"Здание цеха по производству молочных продуктов и молочных смесей для детского питания
Здание цеха по производству мясных консервов для детского питания
Здание цеха по производству плодоовощных консервов для детского питания",3.10.2,
,,,CDGB,,Здание (сооружение) объектов производства дрожжей,,Классификатор ОКС по НФТО,,"Здание цеха производства спиртовых дрожжей
Здание цеха производства хлебопекарных дрожжей",3.10.3,
,,,CDGC,,Здание (сооружение) объектов производства комбикормов,,Классификатор ОКС по НФТО,,"Здание комбикормового цеха
Здание цеха выращивания на корм зеленой биомассы (хлореллы)
Здание цеха обогащения комбикормов",3.10.1,
,,CDH,,,Объекты промышленности хлебобулочных и кондитерских изделий,,Классификатор ОКС по НФТО,По виду ОКС,,3.10.1,
,,,CDHA,,Здание (сооружение) объектов производства кондитерских изделий,,Классификатор ОКС по НФТО,,"Здание цеха по первичной переработке какао-бобов
Здание цеха по производству бисквитов
Здание цеха по производству вафель",3.5.2,
,,,CDHB,,Здание (сооружение) объектов производства хлебопекарных изделий,,Классификатор ОКС по НФТО,,"Здание цеха по производству пирогов
Здание цеха производства хлеба и булок
Здание цеха производства хлебобулочных изделий",3.5.1,
,,CDJ,,,Объекты рыбной промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,3.5.1,
,,,CDJA,,Здание (сооружение) объектов предприятий консервирования рыбы,,Классификатор ОКС по НФТО,,"Здание жестянобаночного цеха сборных и цельнотянутых литографированных банок
Здание консервного цеха рыбной промышленности",3.2.2,
,,,CDJB,,Здание (сооружение) объектов предприятий рыбной промышленности,,Классификатор ОКС по НФТО,,"Здание комбината рыбной гастрономии
Здание коптильного цеха
Здание кулинарного цеха",3.2.1,
,,CDK,,,Объекты табачной промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,3.2.1,
,,,CDKA,,Здание (сооружение) объектов переработки табака,,Классификатор ОКС по НФТО,,"Здание цеха агломерирования тонко резаного табака из табачных листьев, табачных отходов или табачной пыли, в том числе на лотке-подносе
Здание цеха послеуборочной обработки табака
Здание цеха производства грен",3.8.1,
,,CDL,,,Здание (сооружение) вспомогательных объектов пищевой промышленности,,Классификатор ОКС по НФТО,,"Здание микробиологической или химической лаборатории
Здание цеха по производству пищевого диаммонийфосфата
Здание цеха по производству пищевого дикальцийфосфата",3.11.2,
,CE,,,,Объекты производств общего машиностроения,,Классификатор ОКС по НФТО,По виду ОКС,,3.11.2,
,,CEA,,,Объекты машиностроения для различных производств,,Классификатор ОКС по НФТО,По виду ОКС,,3.11.2,
,,,CEAA,,Здание (сооружение) объектов машиностроения для литейного производства,,Классификатор ОКС по НФТО,,"Здание цеха литейного оборудования
Здание цеха тяжелого машиностроения для производства механизмов металлургического производства",13.12.4,
,,,CEAB,,"Здание (сооружение) объектов металлургического, тяжелого и транспортного машиностроения",,Классификатор ОКС по НФТО,,"Здание малярно-сдаточного цеха тяжелого машиностроения
Здание сталелитейного цеха заводов тяжелого и транспортного машиностроения
Здание термического цеха заводов тяжелого и транспортного машиностроения",13.12.7,
,,,CEAC,,Здание (сооружение) объектов производства бумагоделательного и целлюлозного оборудования,,Классификатор ОКС по НФТО,,"Здание цеха по изготовлению оборудования для целлюлозного производства
Здание цеха по производству бумагоделательного оборудования",13.12.2,
,,,CEAD,,Здание (сооружение) объектов производства машин для переработки и производства изделий из пластмасс и резины,,Классификатор ОКС по НФТО,,"Здание цеха по производству машин для переработки резины или пластмассы
Здание цеха по производству машин для производства изделий из пластмассы
Здание цеха по производству машин для производства изделий из резины",13.12.1,
,,,CEAE,,Здание (сооружение) объектов производства машин текстильной промышленности,,Классификатор ОКС по НФТО,,"Здание цеха по производству вспомогательных машин текстильного производства
Здание цеха по производству машин для обработки кожи
Здание цеха по производству машин для печати на ткани и окраски ткани",13.12.3,
,,,CEAF,,"Здание (сооружение) объектов производства оборудования для пищевой промышленности, промышленности напитков и табачных изделий",,Классификатор ОКС по НФТО,,"Здание цеха по производству оборудования для пищевой промышленности
Здание цеха по производству оборудования для промышленности напитков и табачных изделий
Здание цеха по производству оборудования для промышленности табачных изделий",13.12.6,
,,,CEAG,,"Здание (сооружение) объектов производства офисной техники и оборудования, кроме компьютеров и периферийного оборудования",,Классификатор ОКС по НФТО,,"Здание цеха по производству механической офисной техники
Здание цеха по производству порошковых картриджей
Здание цеха по производству прочей неэлектронной офисной техники",13.12.5,
,,CEB,,,Объекты машиностроения добычи полезных ископаемых,,Классификатор ОКС по НФТО,По виду ОКС,,13.12.5,
,,,CEBA,,Здание (сооружение) объектов нефтегазодобывающего и нефтегазоперерабатывающего машиностроения,,Классификатор ОКС по НФТО,,"Здание цеха по производству бурильного оборудования, долот и замков
Здание цеха по производству крупноблочного, реакторного, нефтегазоперерабатывающего оборудования
Здание цеха по производству нефтегазопромыслового оборудования",13.11.1,
,,,CEBB,,Здание (сооружение) объектов производства горношахтного оборудования,,Классификатор ОКС по НФТО,,"Здание малярно-сдаточного цеха горношахтного оборудования
Здание сборочного цеха заводов подъемно-транспортного оборудования горного машиностроения
Здание сборочно-сварочного цеха заводов подъемно-транспортного оборудования и горного машиностроения",13.11.2,
,,CEC,,,Здание (сооружение) объектов прокатного производства общего машиностроения,,Классификатор ОКС по НФТО,,"Здание цеха по производству гибкой арматуры
Здание цеха по производству жесткой арматуры
Здание цеха по производству запорной трубопроводной арматуры",13.3.1,
,,CED,,,Объекты промышленности гидравлического и пневматического силового оборудования,,Классификатор ОКС по НФТО,По виду ОКС,,13.3.1,
,,,CEDA,,Здание (сооружение) объектов предприятий компрессорного машиностроения,,Классификатор ОКС по НФТО,,"Здание цеха по производству компрессорного оборудования
Здание цеха по производству машин для сжижения воздуха или газов
Здание цеха по производству насосов для ядерных установок и радиохимического производства",13.2.1,
,,,CEDB,,Здание (сооружение) объектов производства гидравлического и пневматического силового оборудования,,Классификатор ОКС по НФТО,,"Здание специализированного и агрегатного цеха по производству редукторов, пневмотормозной аппаратуры, технологической оснастки, инструмента и сложных корпусных деталей
Здание цеха по производству гидроаппаратуры, гидро-и пневмооборудования и смазочных систем",13.2.2,
,,,CEDC,,Здание (сооружение) объектов производства противопожарного гидравлического оборудования,,Классификатор ОКС по НФТО,,"Здание цеха по производству противопожарного гидравлического оборудования и арматуры
Здание цеха по производству противопожарного насосного оборудования",13.2.3,
,,CEE,,,"Объекты промышленности двигателей, турбин и комплектующих, кроме авиационных, автомобильных и мотоциклетных",,Классификатор ОКС по НФТО,По виду ОКС,,13.2.3,
,,,CEEA,,"Здание (сооружение) объектов производства комплектующих изделий, узлов и деталей двигателей",,Классификатор ОКС по НФТО,,"Здание заготовительно­штамповочного цеха заводов тяжелого и транспортного машиностроения (холодно-штамповочные)
Здание кузнечного цеха заводов ПТО, горного машиностроения, дизелестроения и путевого машиностроения
Здание кузнечно-штамповочного цеха заводов вагоностроения и других заводов крупносерийного
Здание цеха по производству топливной аппаратуры",13.1.3,
,,,CEEB,,Здание (сооружение) объектов производства специальных двигателей,,Классификатор ОКС по НФТО,,"Здание цеха по производству двигателей для промышленного применения
Здание цеха по производству двигателей для тракторов
Здание цеха по производству поршневых двигателей внутреннего сгорания",13.1.1,
,,,CEEC,,Здание (сооружение) объектов производства турбин,,Классификатор ОКС по НФТО,,"Здание цеха по производству турбин
Здание цеха по производству турбогенераторных установок
Здание цеха по производству установок типа котел-турбина",13.1.2,
,,CEF,,,Объекты промышленности машин и оборудования для сельского и лесного хозяйства,,Классификатор ОКС по НФТО,По виду ОКС,,13.1.2,
,,,CEFA,,Здание (сооружение) объектов лесохозяйственного машиностроения и автотрактороремонтного производства,,Классификатор ОКС по НФТО,,"Здание цеха автотрактороремонтного производства
Здание цеха лесохозяйственного машиностроения",13.9.2,
,,,CEFB,,Здание (сооружение) объектов машиностроения для сельского хозяйства,,Классификатор ОКС по НФТО,,"Здание цеха по производству автопоилок, стойлового оборудования, транспортеров для уборки навоза, стационарных кормораздатчиков, граблей
Здание цеха по производству запасных частей к тракторам и комбайнам
Здание цеха по производству зерноуборочных комбайнов",13.9.1,
,,CEG,,,Здание (сооружение) объектов промышленности машин и оборудования коммунального назначения,,Классификатор ОКС по НФТО,,"Здание цеха по производству самоходных строительных, дорожных и коммунальных машин на спецшасси, пневмоколесном и гусеничном ходах , пневмотранспорта, машин и оборудования для промышленности строительных материалов, цементной промышленности, сборного
Здание цеха по производству строительных, дорожных и коммунальных машин на базе тракторов и автомобилей
Здание цеха по производству контейнеров для сбора мусора",13.8.1,
,,CEH,,,"Объекты промышленности печей, термокамер и печных горелок",,Классификатор ОКС по НФТО,По виду ОКС,,13.8.1,
,,,CEHA,,Здание (сооружение) объектов производства печей и горелок,,Классификатор ОКС по НФТО,,"Здание печного цеха
Сооружение котла, парогенератора",13.5.2,
,,,CEHB,,Здание (сооружение) объектов производства электротермического оборудования,,Классификатор ОКС по НФТО,,"Здание цеха по производству водоподогревателей
Здание цеха по производству воздухоподогревателей
Здание цеха по производству электротермического оборудования",13.5.1,
,,,CEHC,,Сооружение сушила,,Классификатор ОКС по НФТО,,"Сооружение сушила барабанного для сушки сыпучих материалов (песка, глины, шлака, угля, руды, концентратов колчедана и других материалов)
Сооружение сушила вертикального, горизонтального конвейерного с подвесными этажерками
Сооружение сушила для сушки сыпучих материалов в кипящем слое и пневмопотоке",13.5.3,
,,,CEHD,,Сооружение теплообменного устройства,,Классификатор ОКС по НФТО,,"Сооружение теплообменника вертикального
Сооружение теплообменника горизонтального",13.5.4,
,,,CEHF,,Сооружение термокамеры,,Классификатор ОКС по НФТО,,"Сооружение охладительной камеры
Сооружение топки газовой или мазутной",13.5.5,
,,CEJ,,,"Здание (сооружение) объектов промышленности подшипников, зубчатых передач, элементов механических передач и приводов",,Классификатор ОКС по НФТО,,"Здание комплекса по производству железнодорожных подшипников
Здание цеха по производству редукторов с плавным изменением передаточного отношения
Здание цеха по производству редукторов со ступенчатым изменением передаточного отношения",13.4.2,
,,CEK,,,"Здание (сооружение) объектов промышленности подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",,Классификатор ОКС по НФТО,,"Здание базы ремонта перегрузочного оборудования
Здание малярно-сдаточного цеха заводов транспортного машиностроения
Здание цеха по производству грузовых и пассажирских лифтов",13.6.1,
